15:20:41.325	SERVER	admin	OK	Server was started (port: 1984).
15:20:53.273	127.0.0.1:34334	admin	OK	QUERY[0] collection('ligas')	5.38 ms
15:20:53.472	127.0.0.1:34334	admin	REQUEST	EXEC[0]	199.58 ms
15:20:53.473	127.0.0.1:34334	admin	ERROR	Stopped at ., 1/11: [FODC0002] Resource '/home/andre/basex/bin/ligas' does not exist.	0.11 ms
15:20:53.491	127.0.0.1:34334	admin	REQUEST	EXIT	17.9 ms
15:20:53.491	127.0.0.1:34334	admin	OK		0.31 ms
15:20:54.725	127.0.0.1:34340	admin	OK	QUERY[0] collection('ligas')	0.16 ms
15:20:54.726	127.0.0.1:34340	admin	REQUEST	EXEC[0]	0.96 ms
15:20:54.726	127.0.0.1:34340	admin	ERROR	Stopped at ., 1/11: [FODC0002] Resource '/home/andre/basex/bin/ligas' does not exist.	0.11 ms
15:20:54.727	127.0.0.1:34340	admin	REQUEST	EXIT	0.37 ms
15:20:54.727	127.0.0.1:34340	admin	OK		0.25 ms
15:22:09.371	127.0.0.1:34350	admin	OK	QUERY[0] collection('Ligas')	0.27 ms
15:22:09.441	127.0.0.1:34350	admin	OK	EXEC[0]	69.15 ms
15:22:09.473	127.0.0.1:34350	admin	OK	CLOSE[0]	0.19 ms
15:22:09.474	127.0.0.1:34350	admin	REQUEST	EXIT	0.36 ms
15:22:09.474	127.0.0.1:34350	admin	OK		0.2 ms
15:23:22.210	127.0.0.1:34360	admin	OK	QUERY[0] collection('Ligas')	0.28 ms
15:23:22.226	127.0.0.1:34360	admin	OK	EXEC[0]	15.17 ms
15:23:22.261	127.0.0.1:34360	admin	OK	CLOSE[0]	0.16 ms
15:23:22.262	127.0.0.1:34360	admin	REQUEST	EXIT	0.41 ms
15:23:22.262	127.0.0.1:34360	admin	OK		0.21 ms
15:24:44.720	127.0.0.1:34372	admin	OK	QUERY[0] //liga	0.21 ms
15:24:44.737	127.0.0.1:34372	admin	REQUEST	EXEC[0]	16.57 ms
15:24:44.737	127.0.0.1:34372	admin	ERROR	Stopped at ., 2/18: [XPDY0002] root(): no context value bound.	0.09 ms
15:24:44.738	127.0.0.1:34372	admin	REQUEST	EXIT	0.24 ms
15:24:44.738	127.0.0.1:34372	admin	OK		0.14 ms
15:38:54.619	127.0.0.1:34478	admin	OK	QUERY[0] <root> { for $c in doc('Ligas')/ligas/liga return <elem> <idliga>{$c/idliga/text()}</idliga> </elem> } </root>	0.19 ms
15:38:54.632	127.0.0.1:34478	admin	OK	EXEC[0]	12.35 ms
15:38:54.632	127.0.0.1:34478	admin	OK	CLOSE[0]	0.07 ms
15:38:54.632	127.0.0.1:34478	admin	REQUEST	EXIT	0.23 ms
15:38:54.632	127.0.0.1:34478	admin	OK		0.13 ms
15:40:16.646	127.0.0.1:34490	admin	OK	QUERY[0] <root> { for $c in doc('Ligas')/ligas/liga return <elem> <idliga>{$c/idliga/text()}</idliga> </elem> } </root>	0.33 ms
15:40:16.652	127.0.0.1:34490	admin	OK	EXEC[0]	5.35 ms
15:40:16.652	127.0.0.1:34490	admin	OK	CLOSE[0]	0.09 ms
15:40:16.653	127.0.0.1:34490	admin	REQUEST	EXIT	0.38 ms
15:40:16.653	127.0.0.1:34490	admin	OK		0.31 ms
