00:03:28.022	SERVER	admin	OK	Server was stopped (port: 1984).
18:31:20.471	SERVER	admin	OK	Server was started (port: 1984).
18:31:48.369	127.0.0.1:46526	admin	OK	QUERY[0] <ligas> { for $c in doc('Ligas')/ligas/liga return <liga> <idliga>{$c/idliga/text()}</idliga> <imagemliga>{$c/imagemliga/text()}</imagemliga> <imagempais>{$c/imagempais/text()}</imagempais> <pais>{$c/pais/text()}</pais> <nomeliga>{$c/nomeliga/text()}</nomeliga> </liga> } </ligas>	48.25 ms
18:31:52.058	127.0.0.1:46526	admin	OK	EXEC[0]	3674.1 ms
18:31:52.062	127.0.0.1:46526	admin	OK	CLOSE[0]	0.2 ms
18:31:52.139	127.0.0.1:46526	admin	REQUEST	EXIT	76.47 ms
18:31:52.139	127.0.0.1:46526	admin	OK		0.54 ms
18:32:03.405	127.0.0.1:46632	admin	OK	QUERY[0] <liga> { let $idliga := 1 for $c in doc('Ligas')/ligas/liga where $c/idliga/text() = $idliga return for $a in $c//clube return <clube> <idclube>{$a/idclube/text()}</idclube> <nomeclube>{$a/nomeclube/text()}</nomeclube> <vitorias>{$a/vitorias/text()}</vitorias> <empates>{$a/empates/text()}</empates> <derrotas>{$a/derrotas/text()}</derrotas> <posicaoclube>{$a/posicaoclube/text()}</posicaoclube> <imagemclube>{$a/imagemclube/text()}</imagemclube> <pontos>{$a/pontos/text()}</pontos> <golosmarcados>{$a/golosmarcados/text()}</golosmarcados> <golossofridos>{$a/golossofridos/text()}</golossofridos> </clube> } </liga>	0.33 ms
18:32:03.460	127.0.0.1:46632	admin	OK	EXEC[0]	54.76 ms
18:32:03.461	127.0.0.1:46632	admin	OK	CLOSE[0]	0.13 ms
18:32:03.465	127.0.0.1:46632	admin	REQUEST	EXIT	0.57 ms
18:32:03.465	127.0.0.1:46632	admin	OK		0.26 ms
